Source	 English	Translation
ControlsMain.frm - DisplayMessage	 Stop PVD recording before saving	"Beenden Sie die PVD Aufnahme, bevor Sie die Datei speichern"
ControlsScreen.frm - ToolTipText	 Stop Recording	Aufnahme beenden
DebugForm.frm - Caption	 Store Custom Shape	benutzer-definiertes Profil speichern
ControlsScreen.frm - ToolTipText	 Stored Reports	gespeicherte Berichte
DebugForm.frm - Caption	 Stretch	dehnen
Email.bas - DisplayMessage	" Subject, Body text or Attachment is not specified."	"Betreff, Textkörper oder Anlage wurde nicht spezifiziert."
ControlsScreen.frm - ToolTipText	 Summary Report	Übersichtsbericht
OptionsPage.frm - Caption	 System Settings	Systemeinstellungen
ControlsScreen.frm - ToolTipText	 Take a snap-shot for reporting	Schnappschuss für Bericht erfassen
ControlsScreen.frm - ToolTipText	 Text	Text
PageFunctions.bas - DisplayMessage	" The .pvd file is not saved, click on Save button if you wish to save this file."	"Die pvd.-Datei wurde noch nicht gesichert. Klicken Sie auf den Speicherbutton, wenn Sie diese Datei speichern möchten."
ClearLineScreen.frm - DisplayMessage	" The .pvd file is unsaved, do you wish to save this file?"	"Die .pvd-Datei wurde noch nicht gesichert, möchten Sie sie speichern?"
StartUp.bas - DisplayMessage	 The ClearLine.inf file is READONLY. You must update ClearLine.ini path manually.	Die ClearLine.inf-Datei kann NUR GELESEN WERDEN. Sie müssen den ClearLine.ini_Pfad manuell aktualisieren.
PipelineDetails.frm - DisplayMessage	 The Non-Circular shape functionality is BETA ONLY. Do you wish to proceed?	Die Nichtkreisprofil-Funktionalität ist zur Zeit NUR in der BETA-Version verfügbar. Wollen Sie trotzdem fortfahren?
PageFunctions.bas - DisplayMessage	" The PVD file is in a different measurement unit, please alter your measurement units before loading this file."	"Die PVD-Datei ist in einer anderen Maßeinheit, ändern Sie bitte Ihre Maßeinheiten, bevor Sie diese Datei laden."
PageFunctions.bas - DisplayMessage	 There is no recorded data to process	Es sind keine erfassten Daten zur Bearbeitung vorhanden.
PageFunctions.bas - DisplayMessage	 There is no Video File associated with this PVD file.	Zu dieser PVD-Datei gibt es keine dazugehörige Videodatei. 
PageFunctions.bas - DisplayMessage	 There is no Video File associated with this PVD file. Would you like to load one now?	Zu dieser PVD-Datei gibt es keine dazugehörige Videodatei. Möchten Sie jetzt eine laden?
ClearLineScreen.frm - DisplayMessage	 There must be a media file loaded before recording can take place.	Vor  der Erstellung einer  Aufnahme muss eine Mediendatei geladen werden
PageFunctions.bas - DisplayMessage	 This file is not loaded.	Diese Datei wurde nicht geladen.
PrecisionVisionGraph.frm - DisplayMessage	 This function is disabled while recording.	Diese Funktion ist für die Dauer des Aufzeichnens deaktiviert.
ClearLineScreen.frm - DisplayMessage	 This hardware cannot run the 3D Application	Die 3D-Anwendung läuft nicht auf dieser Hardware
ClearLineScreen.frm - DisplayMessage	 ThreeDim.dll is currently 	Die ThreeDim.dll ist zur Zeit
ClearLineScreen.frm - DisplayMessage	 ThreeDim.dll VERSION ERROR. Expecting 	3-Dim.dll VERSIONSFEHLER. Erwartet wird
ClearLineScreen.frm - Caption	 Tiling Pattern	Mosaikmuster
PipelineDetails.frm - Caption	 Time	Uhrzeit
DebugForm.frm - Caption	 To	bis
PageFunctions.bas - DisplayMessage	" To open a new file, stop the recording and the video, then open the new file."	"Um eine neue Datei öffnen zu können, müssen Sie zuerst die Aufnahme und das Video beenden."
ClearLineScreen.frm - Caption	 Tools	Werkzeuge
PVReportProfile.frm - Caption	 True Diameter	durchschnittlicher Durchmesser
DebugForm.frm - Caption	 True Diameter Offset	Offset - durchschnittlicher Durchmesser
AutoTune.frm - Caption	 Tuning	Bild einstellen
ControlsScreen.frm - ToolTipText	 Tuning settings	Bildeinstellungen
ControlsScreen.frm - ToolTipText	 Turn map view on/off	Kamera-Draufsicht ein-/ausschalten
ControlsReference.frm - Caption	 Type	Rohrprofil
PVReport4in1.frm - Caption	 unit	Maßeinheit
OptionsPage.frm - Caption	 Units	Maßeinheiten
Email.bas - DisplayMessage	 Unknown Recipient.	unbekannter Empfänger
V6Splash.frm - Caption	 Unregistered Copy	nichtregistrierte Kopie
PVReportMultiProfile.frm - Caption	 Unregistered Software	nichtregistrierte Software
ClearLineScreen.frm - DisplayMessage	 Upgrade Now	jetzt aktualisieren
PVReportProfile.frm - Caption	 Upper =	obere =
PVReportSingle.frm - Caption	 Upper limit =	obere Begrenzung =
Registration.frm - Caption	 User Name	Benutzername
PVGraphsKeyForm.frm - DisplayMessage	 Variation in radius	Abweichung des Radius
V6Splash.frm - Caption	 Version	Version
PVReportProfile.frm - Caption	 Vertical	vertikal
PageFunctions.bas - DisplayMessage	 Vertical video adjustment	vertikale Videoeinstellung
ControlsScreen.frm - ToolTipText	 Video	Video
OptionsPage.frm - Caption	 Video Device Select	Videogeräteauswahl
OptionsPage.frm - Caption	 Video Input Select	Videoeingabeauswahl
OptionsPage.frm - Caption	 Video Input Settings	Videoeingangs-Einstellungen
Fisheye.frm - Caption	 Video Resolution	Videoauflösung
StartUp.bas - DisplayMessage	 Viewer	Viewer
V6Splash.frm - DisplayMessage	 Viewer Copy	Viewerkopie
PageFunctions.bas - DisplayMessage	 Warning this PVD is Read ONLY. Unable to save changes.	Warnung: diese PVD kann NUR GELESEN WERDEN. Die Änderungen können nicht gespeichert werden.
ReportingFunctions.bas - DisplayMessage	 Warning this PVD is Read ONLY. Unable to store report.	Warnung: diese PVD kann NUR GELESEN WERDEN. Der Bericht kann nicht gespeichert werden.
OptionsPage.frm - DisplayMessage	" WARNING: If Units are changed, calibration will be reset to default."	"WARNUNG. Wenn die Maßeinheiten geändert werden, wird die Kalibrierung auf den Vorgabewert zurückgesetzt."
AutoTune.frm - Caption	 Water / Debris Mask	Wasser / Ablagerungen maskieren
OptionsPage.frm - DisplayMessage	 Will you overwrite existing logo file?	Möchten Sie die vorhandene Firmenlogodatei überschreiben ?
ScreenDrawing.bas - DisplayMessage	" Wrong PVD version, unable to recalculate data"	"Falsche PVD-Version, die Daten können nicht neu berechnet werden."
PVGraphsKeyForm.frm - DisplayMessage	 X Diameter	X-Durchmesser
PrecisionVisionGraph.frm - Caption	 X Y Diameter	X Y Durchmesser
PVGraphsKeyForm.frm - DisplayMessage	 Y Diameter	Y-Durchmesser
Registration.frm - DisplayMessage	 You must Agree to the End User License Agreement Details before Registering this Product.	"Sie müssen der Endbenutzer-Lizenzvereinbarung zustimmen, um dieses Produkt registrieren zu können."
StartUp.bas - DisplayMessage	 Your Company Logo could not be found - please remember to load it.	"Ihr Firmen-Logo konnte nicht gefunden werden - vergessen Sie bitte nicht, es zu laden."
AutoTune.frm - Caption	 Zone	Bereich
PVReportStoredInPVD.frm - ToolTipText	 Zoom In	einzoomen
PVReportStoredInPVD.frm - ToolTipText	 Zoom Out	auszoomen
